tokenizer,Plain integers,Formatted integers (commas),Decimals,Scientific notation,Dates,Times,Currency,Percentages,Fractions
BERT,2.5,4.2,3.727272727272727,4.888888888888889,5.555555555555555,4.222222222222222,3.8333333333333335,3.5,3.0
GPT-2,1.75,4.1,3.4545454545454546,4.777777777777778,5.333333333333333,4.222222222222222,4.0,3.5,3.0
RoBERTa,1.75,4.1,3.4545454545454546,4.777777777777778,5.333333333333333,4.222222222222222,4.0,3.5,3.0
BLOOM,1.4375,4.0,3.272727272727273,3.7777777777777777,4.111111111111111,2.6666666666666665,3.4166666666666665,2.5,1.875
T5,2.25,2.4,2.6363636363636362,3.7777777777777777,4.333333333333333,4.0,3.1666666666666665,2.375,2.125
XLM-R,1.75,2.3,2.090909090909091,3.5555555555555554,3.888888888888889,2.7777777777777777,3.1666666666666665,2.125,1.875
Pythia,1.4375,4.0,3.272727272727273,4.777777777777778,5.555555555555555,4.222222222222222,3.75,3.5,3.0
OPT,1.75,4.1,3.4545454545454546,4.777777777777778,5.333333333333333,4.222222222222222,4.0,3.5,3.0
Qwen2.5,4.875,7.7,5.2727272727272725,5.666666666666667,9.666666666666666,6.555555555555555,6.333333333333333,4.5,4.25
